,realized_pnl
BHARAT DYNAMICS LIMITED,-7976.219999999999
ZOMATO futures (intraday),-7408.09
TITAGARH RAIL SYSTEMS LTD,-6944.61
INDIAN RENEWABLE ENERGY,-6086.4
BANK OF BARODA,-4472.59
HAPPIEST MINDS TECHNO LTD,-3853.65
CANARA BANK,-3550.7
AIA ENGINEERING LIMITED,-3423.3
SHIPPING CORP OF INDIA LT,-3339.0
INDIAN RAILWAY FIN CORP L,-2885.3
TATA MOTORS PASS VEH LTD,-2795.8
INOX WIND LIMITED,-1989.0
RAIL VIKAS NIGAM LIMITED,-1793.0
VBL,-1088.9999999999986
VARUN BEVERAGES LIMITED,-1025.6
NIFTY options (Dec 24),-989.9699999999975
PRESTIGE,-415.29999999999995
GENESYS,-286.8000000000011
JSWINFRA,-57.600000000000364
COCHIN SHIPYARD LIMITED,-52.8
RELIANCE,-45.549599999998456
PATEL ENGINEERING LTD,0.0
WARDWIZARD INNOVATIONS AND MOB,0.0
IDFCFIRSTB,3.049999999999997
HATHWAY,18.440000000000012
OBEROIRLTY,20.950000000000273
J&K BANK LTD.,26.85
HDFCBANK,28.600000000000364
MANAPPURAM FINANCE LTD,41.51
HERO MOTOCORP LIMITED,53.2
MAHABANK,72.0000000000006
BEL,77.30000000000007
BHEL,88.35000000000065
PNB,134.19999999999987
TATASTEEL,139.49999999999974
SUZLON,148.08000000000004
ADANI ENERGY SOLUTION LTD,201.96
ITC,213.39999999999972
SBIN,219.40000000000055
GMRINFRA,224.89999999999756
EXIDEIND,306.40000000000055
RELIANCE INDUSTRIES LTD,318.95999999999185
KAJARIA CERAMICS LTD,362.56
POWER FIN CORP,378.3
CIPLA LTD,415.22
BPCL,494.8000000000038
ADANI POWER LTD,504.0
SIEMENS LTD,523.12
OIL,529.7000000000021
NATIONALUM,531.0000000000005
ZOMATO,555.0
SUZLON ENERGY,587.37
WAAREE RENEWABLE TECH LTD,624.0
PARADEEP PHOSPHATES LTD,658.56
SIGNATURE,660.5500000000017
IOB,674.9399999999997
WHIRLPOOL,763.1999999999971
BILLIONBRAINS GARAGE VN L,786.42
SAIL,898.6500000000025
JIOFIN,1074.1500000000021
ADANIENSOL,1079.8499999999972
GODREJ PROPERTIES LTD,1088.85
DLF,1224.9999999999995
ADANI ENTERPRISES LIMITED,1363.5
BRITANNIA INDUSTRIES LTD,1808.12
National Securities Depository,1962.0
AMBUJA CEMENTS LTD,2027.94
SUZLON ENERGY LIMITED,2325.27
YESBANK,2366.319999999999
IOC,2396.1999999999994
SWAN CORP LIMITED,2512.0
ADANI PORT & SEZ LTD,2605.9
NCC LIMITED,2633.1600000000003
ONGC,2636.65
JIO FIN SERVICES LTD,2680.19
PHOENIXLTD,2749.449900000001
HDFC BANK LTD,2862.2
AXIS BANK LIMITED,2863.8
ANANT RAJ LIMITED,3111.48
COALINDIA,3152.950000000008
THE PHOENIX MILLS LTD,3200.44
IDBI BANK LIMITED,3331.28
TRIVENI TURBINE LIMITED,3439.74
SENCO GOLD LIMITED,3495.86
OLA ELECTRIC MOBILITY LTD,3509.29
SIEMENS,3907.26
LODHA,3993.4999999999973
GODREJPROP,4371.498699999997
POWERGRID,4660.300000000008
ALKEM LABORATORIES LTD.,5260.6
VISHAL MEGA MART,5275.65
RVNL,5381.850000000003
NIP IND ETF NIFTY 100,5671.88
JSW INFRASTRUCTURE LTD,5752.0
SHILPA MEDICARE LTD,6241.38
HSG & URBAN DEV CORPN LTD,6469.2
ADANI GREEN ENERGY LTD,6517.72
IRFC,6870.650000000002
SJVN LTD,10264.0
REC,12743.93
RAYMOND LTD,13554.2
ICICI BANK LTD.,15176.460000000001
ETERNAL LIMITED,15246.87
NTPC GREEN ENERGY LIMITED,24613.12
RAYMOND,29012.78
SIEMENS ENERGY INDIA,58466.28
OLA ELECTRIC (IPO flip),59233.66
